ZD_deg,Etrue_min_TeV,Etrue_max_TeV,Aeff_m2,emig_mu_loc,emig_mu_scale,emig_mu_a,emig_model
6.0,1.7782794100389236,2.238721138568341,109674.25467072222,0.8818674605221172,0.2057950286935981,1.111704584170622,skewnorm
6.0,2.238721138568341,2.8183829312644564,93981.58154780796,1.0712835429815568,0.17026236532841052,-0.867978642086584,skewnorm
6.0,2.8183829312644564,3.548133892335755,89832.36761660763,1.129526145527036,0.18462666388786717,-1.2776976818785515,skewnorm
6.0,3.548133892335755,4.466835921509633,112172.8012039856,1.069634475163725,0.140474188989395,-0.5233687080926358,skewnorm
6.0,4.466835921509633,5.623413251903494,111121.72323763899,1.0987364224872207,0.1610931323622503,-1.9999999999999998,skewnorm
6.0,5.623413251903494,7.079457843841384,97634.32707788429,1.1017127009203993,0.18392012695263915,-1.418079505038764,skewnorm
6.0,7.079457843841384,8.912509381337463,75216.23510884547,1.1017127009203993,0.18392012695263915,-1.418079505038764,skewnorm
6.0,8.912509381337463,11.220184543019636,85453.42197674119,1.1017127009203993,0.18392012695263915,-1.418079505038764,skewnorm
6.0,11.220184543019636,14.125375446227547,95949.26991601476,1.1017127009203993,0.18392012695263915,-1.418079505038764,skewnorm
6.0,14.125375446227547,17.782794100389236,62226.68364806862,1.1017127009203993,0.18392012695263915,-1.418079505038764,skewnorm
6.0,17.782794100389236,22.38721138568341,64514.26745336599,1.1017127009203993,0.18392012695263915,-1.418079505038764,skewnorm
6.0,22.38721138568341,28.183829312644566,87019.98291463699,1.1017127009203993,0.18392012695263915,-1.418079505038764,skewnorm
6.0,28.183829312644566,35.48133892335755,51124.111651727944,1.1017127009203993,0.18392012695263915,-1.418079505038764,skewnorm
9.579,0.011220184543019636,0.014125375446227547,577.6228719953638,2.1484868689560477,0.25723709884370793,,moyal
9.579,0.014125375446227547,0.01778279410038923,1260.5755037770095,1.7691650948065145,0.21476631343564587,,moyal
9.579,0.01778279410038923,0.0223872113856834,2002.8822859939603,1.455989576053346,0.19817625065276323,,moyal
9.579,0.0223872113856834,0.02818382931264455,3416.5753445368646,1.2251659615003505,0.17930714099302433,,moyal
9.579,0.02818382931264455,0.03548133892335755,5070.865599783437,1.0370176067044186,0.17560326084363387,,moyal
9.579,0.03548133892335755,0.04466835921509633,7195.150404019665,0.9046931452520488,0.16905598795059543,,moyal
9.579,0.04466835921509633,0.05623413251903491,9256.596706757788,0.8039770661842053,0.1658656824077297,,moyal
9.579,0.05623413251903491,0.0707945784384138,12799.597426198787,0.7436361986270849,0.17449273158318118,,moyal
9.579,0.0707945784384138,0.08912509381337459,17566.00995214436,0.6389437363807903,0.4308435768992372,1.9832041509643914,skewnorm
9.579,0.08912509381337459,0.11220184543019636,22382.13665760197,0.9091842052031807,0.3108944654564607,-0.0004828568071997037,skewnorm
9.579,0.11220184543019636,0.14125375446227548,27136.546600594393,0.7451959671961274,0.3312736931673839,0.8819114018855561,skewnorm
9.579,0.14125375446227548,0.17782794100389238,31043.748131082375,0.7612105687718028,0.3024940176762347,0.9549461641391844,skewnorm
9.579,0.17782794100389238,0.223872113856834,37292.645812300594,0.7909511031983759,0.288414944952662,1.097524962453271,skewnorm
9.579,0.223872113856834,0.2818382931264455,41069.10773741235,0.796510294496107,0.2717201804219316,1.187459896950261,skewnorm
9.579,0.2818382931264455,0.35481338923357547,52402.627076919634,0.7764751296514665,0.26837700075000526,1.7872807042674408,skewnorm
9.579,0.35481338923357547,0.44668359215096326,59526.88865181214,0.7868012234829366,0.2624607124831607,1.732439177464561,skewnorm
9.579,0.44668359215096326,0.5623413251903494,68986.74216511779,0.8348550918744085,0.21747059488346848,1.2364700154964643,skewnorm
9.579,0.5623413251903494,0.707945784384138,78031.98890139583,0.8089540099827887,0.24690792986187993,1.65285914474079,skewnorm
9.579,0.707945784384138,0.8912509381337459,82048.7142051187,0.8084770159795305,0.22521570741137542,1.8737945257405917,skewnorm
9.579,0.8912509381337459,1.1220184543019636,97936.40441749875,0.8630794350270525,0.20944655764187797,1.1729927604518828,skewnorm
9.579,1.1220184543019636,1.4125375446227548,97638.79003779501,0.8631757021614802,0.19256553927004416,1.2593411482529409,skewnorm
9.579,1.4125375446227548,1.7782794100389236,102617.85945827473,0.8774903778955321,0.17213836059009238,1.1308631070053208,skewnorm
9.579,1.7782794100389236,2.238721138568341,117105.8784386259,1.0878368001738883,0.18292238495479238,-1.127055815102826,skewnorm
9.579,2.238721138568341,2.8183829312644564,94482.34899703837,0.9072912469220058,0.16465334577867777,0.7130159243197379,skewnorm
9.579,2.8183829312644564,3.548133892335755,118209.72095355761,1.0608185060290445,0.14171946438339467,-0.8285934180315704,skewnorm
9.579,3.548133892335755,4.466835921509633,111265.2124332937,1.1437473099332087,0.20796228714413495,-1.9999999999999998,skewnorm
9.579,4.466835921509633,5.623413251903494,126650.78722360879,0.8987800290449995,0.17112836809195922,0.9976923689917807,skewnorm
9.579,5.623413251903494,7.079457843841384,89641.26785282741,0.9145144849616571,0.17263188905195076,1.5639729884506854,skewnorm
9.579,7.079457843841384,8.912509381337463,96201.42364523513,1.1098713684713082,0.20965331880829063,-1.359216213810098,skewnorm
9.579,8.912509381337463,11.220184543019636,107136.13800725206,1.0644614191669302,0.14591752986765005,-0.7964968614006599,skewnorm
9.579,11.220184543019636,14.125375446227547,112885.68818183517,1.1262250581952766,0.18062376285007736,-1.548317144434663,skewnorm
9.579,14.125375446227547,17.782794100389236,83054.02294284823,1.1262250581952766,0.18062376285007736,-1.548317144434663,skewnorm
9.579,17.782794100389236,22.38721138568341,83647.05602758989,1.1262250581952766,0.18062376285007736,-1.548317144434663,skewnorm
9.579,22.38721138568341,28.183829312644566,73128.75309368294,1.1262250581952766,0.18062376285007736,-1.548317144434663,skewnorm
9.579,28.183829312644566,35.48133892335755,81016.00813016412,1.1262250581952766,0.18062376285007736,-1.548317144434663,skewnorm
16.08,0.011220184543019636,0.014125375446227547,448.42003443324154,2.3052122669323105,0.25077700469375724,,moyal
16.08,0.014125375446227547,0.01778279410038923,1031.013583982261,1.8875594311278292,0.23594922430865098,,moyal
16.08,0.01778279410038923,0.0223872113856834,1791.6752771506478,1.5453666766991405,0.18145421395521016,,moyal
16.08,0.0223872113856834,0.02818382931264455,3187.894224338138,1.28344005338625,0.18028274836018995,,moyal
16.08,0.02818382931264455,0.03548133892335755,4739.000169650142,1.1000868419335221,0.1723110467213821,,moyal
16.08,0.03548133892335755,0.04466835921509633,6553.913962126864,0.9481639918666261,0.15423070751126713,,moyal
16.08,0.04466835921509633,0.05623413251903491,9005.970175378818,0.8384219442826707,0.1693551341700048,,moyal
16.08,0.05623413251903491,0.0707945784384138,12470.999652286637,0.7740204306933869,0.17018031549834833,,moyal
16.08,0.0707945784384138,0.08912509381337459,17166.24252163279,0.6220131523047413,0.44561299913913227,1.8630953616780925,skewnorm
16.08,0.08912509381337459,0.11220184543019636,22688.576666361372,0.7335495730912144,0.3473661482121987,0.9008429222054214,skewnorm
16.08,0.11220184543019636,0.14125375446227548,26427.892225421307,0.8982079972469815,0.27773783994007306,0.0005993180898318624,skewnorm
16.08,0.14125375446227548,0.17782794100389238,31879.19302619991,0.9145367333628674,0.24779963302362892,-0.00017113798408734785,skewnorm
16.08,0.17782794100389238,0.223872113856834,38122.86839714995,0.9410679367613531,0.237526215732425,-0.0003137074611441929,skewnorm
16.08,0.223872113856834,0.2818382931264455,43232.05610835921,0.7862549948311103,0.26868337310973833,1.2845108963335743,skewnorm
16.08,0.2818382931264455,0.35481338923357547,55246.26695777232,0.7752709161880613,0.2628085605908604,1.5312742886519275,skewnorm
16.08,0.35481338923357547,0.44668359215096326,62043.71884146762,0.9444000726799685,0.1784687377499227,0.00032646442506826634,skewnorm
16.08,0.44668359215096326,0.5623413251903494,70057.5470055841,0.7866181511877588,0.23899402242496853,1.6110344437283592,skewnorm
16.08,0.5623413251903494,0.707945784384138,81146.48436041152,0.7944562799414553,0.22539171294070515,1.6584921707449116,skewnorm
16.08,0.707945784384138,0.8912509381337459,91695.94920373558,0.8127190383277385,0.2189695232857249,1.3638892798813822,skewnorm
16.08,0.8912509381337459,1.1220184543019636,97379.29123293186,0.7982523869554485,0.22830975754398689,1.8078307679594792,skewnorm
16.08,1.1220184543019636,1.4125375446227548,110158.08689018288,0.8191719943805837,0.2173586580688261,1.71957974924571,skewnorm
16.08,1.4125375446227548,1.7782794100389236,107212.7622607319,1.089090580288389,0.18137527895990505,-1.062201391499608,skewnorm
16.08,1.7782794100389236,2.238721138568341,111880.16730651812,1.0339389891601434,0.15871027729220427,-0.7152039708407515,skewnorm
16.08,2.238721138568341,2.8183829312644564,111776.79434393164,0.8940627163001567,0.1558277388476233,0.8509667182684624,skewnorm
16.08,2.8183829312644564,3.548133892335755,123049.93782713456,0.8619523323319404,0.19199494526741517,1.1249651646165926,skewnorm
16.08,3.548133892335755,4.466835921509633,120353.6927590569,0.8890166143864605,0.17180277667038865,1.069278853872016,skewnorm
16.08,4.466835921509633,5.623413251903494,102010.9892158398,0.8734441696800795,0.18887307121684285,1.029756160583745,skewnorm
16.08,5.623413251903494,7.079457843841384,112056.43301903197,1.0011599425806093,0.12469502934666248,-0.00017696336358966075,skewnorm
16.08,7.079457843841384,8.912509381337463,94311.30471257173,1.0453950223275807,0.15889958706272453,-0.719596755251878,skewnorm
16.08,8.912509381337463,11.220184543019636,121724.114041165,1.116960551433944,0.20136075790811564,-1.6025532036022114,skewnorm
16.08,11.220184543019636,14.125375446227547,102998.43928158499,1.0752436443759719,0.1950215941310804,-1.9999999999999956,skewnorm
