ZD_deg,Ereco_min_TeV,Ereco_max_TeV,BckgRate_per_second,Theta_cut_deg,Gammaness_cut
23.16,0.012589254117941675,0.0199526231496888,0.0037997870728821463,0.32,0.1
23.16,0.0199526231496888,0.03162277660168379,1.030311118455608,0.2578799183615753,0.18664904409216268
23.16,0.03162277660168379,0.05011872336272725,4.067640247520111,0.23703638782089045,0.22665335685425472
23.16,0.05011872336272725,0.07943282347242814,2.3476423010362364,0.20736984708463185,0.27127577525471624
23.16,0.07943282347242814,0.12589254117941673,0.2974774476053728,0.13312368458559823,0.4363628788022292
23.16,0.12589254117941673,0.19952623149688797,0.02446630431756125,0.1,0.651194465305772
23.16,0.19952623149688797,0.31622776601683794,0.006437754261794234,0.1,0.746140744781241
23.16,0.31622776601683794,0.5011872336272722,0.002394668248952174,0.1,0.8030298811164628
23.16,0.5011872336272722,0.7943282347242814,0.0009582592202806372,0.1,0.8551003909714278
23.16,0.7943282347242814,1.2589254117941668,0.0003834605205354247,0.1,0.8943986180625971
23.16,1.2589254117941668,1.9952623149688788,0.0001534469668512409,0.1,0.9227229926235273
23.16,1.9952623149688788,3.1622776601683795,6.140390046664688e-05,0.1,0.941335257607903
23.16,3.1622776601683795,5.01187233627272,2.4571609787328856e-05,0.1,0.950615305688041
23.16,5.01187233627272,7.943282347242813,9.832665399956234e-06,0.1,0.9609170501847444
23.16,7.943282347242813,12.589254117941662,3.934675412164217e-06,0.1,0.9522570871256878
23.16,12.589254117941662,19.952623149688787,1.574514129114834e-06,0.1,0.9572631795771868
23.16,19.952623149688787,31.622776601683793,6.300633427392808e-07,0.1,0.9602385697244247
23.16,31.622776601683793,50.118723362727195,2.521284557077757e-07,0.1,0.9462835716657525
23.16,50.118723362727195,79.43282347242814,1.0331382779400924e-06,0.32,0.1
30.39,0.012589254117941675,0.0199526231496888,0.00044520408537425323,0.32,0.1
30.39,0.0199526231496888,0.03162277660168379,0.44202683877235854,0.2929976786720368,0.13606157250960138
30.39,0.03162277660168379,0.05011872336272725,3.0676733282995214,0.23867266446185426,0.21709321056056893
30.39,0.05011872336272725,0.07943282347242814,2.950966529004954,0.2187740774314825,0.25822369493169384
30.39,0.07943282347242814,0.12589254117941673,0.5771193075206469,0.15255605129139066,0.37597735266542565
30.39,0.12589254117941673,0.19952623149688797,0.04099737940259154,0.10197576489596409,0.6213120756069364
30.39,0.19952623149688797,0.31622776601683794,0.008205667350469301,0.1,0.732327003039153
30.39,0.31622776601683794,0.5011872336272722,0.0030436903367525143,0.1,0.7930150727145128
30.39,0.5011872336272722,0.7943282347242814,0.0011845587191292868,0.1,0.8378616050145095
30.39,0.7943282347242814,1.2589254117941668,0.0004610125222404682,0.1,0.8843225879167961
30.39,1.2589254117941668,1.9952623149688788,0.00017941917292098515,0.1,0.9131757789367785
30.39,1.9952623149688788,3.1622776601683795,6.982725643807814e-05,0.1,0.9355204655689834
30.39,3.1622776601683795,5.01187233627272,2.717572298595095e-05,0.1,0.9384825559019611
30.39,5.01187233627272,7.943282347242813,1.05763846022513e-05,0.1,0.9434221550172315
30.39,7.943282347242813,12.589254117941662,4.116170572998801e-06,0.1,0.9443956027898699
30.39,12.589254117941662,19.952623149688787,1.601951973495253e-06,0.1,0.9307896797127482
30.39,19.952623149688787,31.622776601683793,6.23455729026243e-07,0.1,0.9449926556277641
30.39,31.622776601683793,50.118723362727195,2.426396374465317e-07,0.1,0.9421297091509299
30.39,50.118723362727195,79.43282347242814,9.443171490642629e-08,0.1,0.9321790193703262
37.66,0.012589254117941675,0.0199526231496888,0.0,0.32,0.1
37.66,0.0199526231496888,0.03162277660168379,0.004903530549231421,0.32,0.1
37.66,0.03162277660168379,0.05011872336272725,0.9298672248422799,0.24531484308734686,0.1849816184719492
37.66,0.05011872336272725,0.07943282347242814,3.1541836942365538,0.23426394546475227,0.24395674538842407
37.66,0.07943282347242814,0.12589254117941673,1.2907247948224125,0.18411193053790204,0.3126474920499498
37.66,0.12589254117941673,0.19952623149688797,0.11924190967344299,0.11462927210397188,0.5245377824735699
37.66,0.19952623149688797,0.31622776601683794,0.013637264534758217,0.1,0.6941997622809297
37.66,0.31622776601683794,0.5011872336272722,0.004350075891330023,0.1,0.7573834462732065
37.66,0.5011872336272722,0.7943282347242814,0.0015857260793042968,0.1,0.8143646888213829
37.66,0.7943282347242814,1.2589254117941668,0.0006328318630421753,0.1,0.8601806857224763
37.66,1.2589254117941668,1.9952623149688788,0.0002525506593529261,0.1,0.8847795693551539
37.66,1.9952623149688788,3.1622776601683795,0.00010078796480471615,0.1,0.906062314172316
37.66,3.1622776601683795,5.01187233627272,4.022248001847874e-05,0.1,0.9301432362329947
37.66,5.01187233627272,7.943282347242813,1.6051994917960855e-05,0.1,0.9375599988109555
37.66,7.943282347242813,12.589254117941662,6.406033161750984e-06,0.1,0.9425441734747769
37.66,12.589254117941662,19.952623149688787,2.5565209233611213e-06,0.1,0.9426310939001388
37.66,19.952623149688787,31.622776601683793,1.0202568526505638e-06,0.1,0.9454227432274414
37.66,31.622776601683793,50.118723362727195,4.0716429733417003e-07,0.1,0.9476555141986623
37.66,50.118723362727195,79.43282347242814,1.62491204634338e-07,0.1,0.9558454031429453
44.92,0.012589254117941675,0.0199526231496888,0.0,0.32,0.1
44.92,0.0199526231496888,0.03162277660168379,0.0005034818183207038,0.32,0.1
44.92,0.03162277660168379,0.05011872336272725,0.3481495825351589,0.31056843122863537,0.1
44.92,0.05011872336272725,0.07943282347242814,1.7417044364784289,0.22870019947192644,0.20055015744422341
44.92,0.07943282347242814,0.12589254117941673,2.0195832469545394,0.21188986854704878,0.26669948683652384
44.92,0.12589254117941673,0.19952623149688797,0.3960863401859151,0.14211675071190638,0.3894695543197544
44.92,0.19952623149688797,0.31622776601683794,0.03370043812298416,0.1,0.6319406502704973
44.92,0.31622776601683794,0.5011872336272722,0.0070211845401037904,0.1,0.7401805275680142
44.92,0.5011872336272722,0.7943282347242814,0.002246864365940871,0.1,0.7995393351331342
44.92,0.7943282347242814,1.2589254117941668,0.0009679142605008971,0.1,0.8319093411166305
44.92,1.2589254117941668,1.9952623149688788,0.00041696242545049693,0.1,0.8629713704659066
44.92,1.9952623149688788,3.1622776601683795,0.00017962093475881803,0.1,0.879029958386691
44.92,3.1622776601683795,5.01187233627272,7.737790801838572e-05,0.1,0.9032349091791307
44.92,5.01187233627272,7.943282347242813,3.3333200594580627e-05,0.1,0.9167087730389729
44.92,7.943282347242813,12.589254117941662,1.4359424935791001e-05,0.1,0.9147302906981755
44.92,12.589254117941662,19.952623149688787,6.185817167528149e-06,0.1,0.9042515734100918
44.92,19.952623149688787,31.622776601683793,2.664753929992821e-06,0.1,0.9145788316532099
44.92,31.622776601683793,50.118723362727195,1.1479345921647578e-06,0.1,0.9097760484559024
44.92,50.118723362727195,79.43282347242814,4.94512387450356e-07,0.1,0.9170924616126577
52.16,0.012589254117941675,0.0199526231496888,0.0,0.32,0.1
52.16,0.0199526231496888,0.03162277660168379,0.0,0.32,0.1
52.16,0.03162277660168379,0.05011872336272725,0.0019554053555110216,0.32,0.1
52.16,0.05011872336272725,0.07943282347242814,0.11696709028698668,0.2286017877369897,0.1
52.16,0.07943282347242814,0.12589254117941673,1.5437040284343415,0.20882688124698462,0.195630797643331
52.16,0.12589254117941673,0.19952623149688797,1.5350369090560867,0.18948531016313416,0.27962487191709734
52.16,0.19952623149688797,0.31622776601683794,0.2103482496969563,0.1271152353053556,0.45899875297284454
52.16,0.31622776601683794,0.5011872336272722,0.017626402866680133,0.1,0.6869338523202627
52.16,0.5011872336272722,0.7943282347242814,0.004105712193174192,0.1,0.7640496741110404
52.16,0.7943282347242814,1.2589254117941668,0.001638159631918383,0.1,0.809011634949459
52.16,1.2589254117941668,1.9952623149688788,0.000743727554210192,0.1,0.8312713822693032
52.16,1.9952623149688788,3.1622776601683795,0.0003376537085361608,0.1,0.8560218568749494
52.16,3.1622776601683795,5.01187233627272,0.00015329541878987733,0.1,0.8610640097240986
52.16,5.01187233627272,7.943282347242813,6.959640847376393e-05,0.1,0.8858931169655582
52.16,7.943282347242813,12.589254117941662,3.159690035542566e-05,0.1,0.9025033051679945
52.16,12.589254117941662,19.952623149688787,1.4345052193994404e-05,0.1,0.894107880719096
52.16,19.952623149688787,31.622776601683793,6.512680678599796e-06,0.1,0.8862347667752004
52.16,31.622776601683793,50.118723362727195,2.956769278202017e-06,0.1,0.8802914243877077
52.16,50.118723362727195,79.43282347242814,1.3423788138801976e-06,0.1,0.893212561651399
59.34,0.012589254117941675,0.0199526231496888,0.0,0.32,0.1
