# from https://forge.in2p3.fr/issues/33587
# pix_id  cluster_i  cluster_j  pix_id_in_cluster
 477         0          8              5
 478         0          8              7
 479         1          9              1
 480         1          9              4
 481         1          9              6
 482         2         10              2
 483         2          8              7
 484         2          8              6
 485         3          7              5
 486         3          7              4
 487         3          7              3
 488         4          6              1
 489         4          6              2
 490         4          4              7
 491         4          4              6
 492         5          3              5
 493         5          3              4
 494         5          3              3
 495         6          2              1
 496         5          1              6
 497         5          1              3
 498         5         -1              7
 499         5         -1              4
 500         5         -1              2
 501         5         -3              5
 502         5         -3              1
 503         4         -4              6
 504         4         -4              3
 505         4         -6              7
 506         4         -6              4
 507         4         -6              2
 508         4         -8              5
 509         3         -7              3
 510         3         -7              2
 511         2         -8              6
 512         2         -8              4
 513         2         -8              1
 514         1         -9              7
 515         1         -9              5
 516         0         -8              3
 517         0         -8              2
 518        -1         -9              6
 519        -1         -9              4
 520        -1         -9              1
 521        -2        -10              7
 522        -2         -8              2
 523        -2         -8              1
 524        -3         -7              3
 525        -3         -7              4
 526        -3         -7              5
 527        -4         -6              6
 528        -4         -6              7
 529        -4         -4              2
 530        -4         -4              1
 531        -5         -3              3
 532        -5         -3              4
 533        -5         -3              5
 534        -6         -2              6
 535        -5         -1              1
 536        -5         -1              5
 537        -5          1              2
 538        -5          1              4
 539        -5          1              7
 540        -5          3              3
 541        -5          3              6
 542        -4          4              1
 543        -4          4              5
 544        -4          6              2
 545        -4          6              4
 546        -4          6              7
 547        -4          8              4
 548        -4          8              6
 549        -3          9              2
 550        -3          9              3
 551        -2          8              5
 552        -2          8              7
 553        -1          9              1
 554        -1          9              4
 555        -1          9              6
 556         0         10              2
 557         0         10              3
 558         1          9              5
 559         1          9              7
 560         2         10              1
 561         2         10              4
 562         2         10              3
 563         3          9              1
 564         3          9              2
 565         3          7              7
 566         3          7              6
 567         4          6              5
 568         4          6              4
 569         4          6              3
 570         5          5              1
 571         5          5              2
 572         5          3              7
 573         5          3              6
 574         6          2              5
 575         6          2              4
 576         6          2              2
 577         6          0              5
 578         6          0              1
 579         5         -1              6
 580         5         -1              3
 581         5         -3              7
 582         5         -3              4
 583         5         -3              2
 584         5         -5              5
 585         5         -5              1
 586         4         -6              6
 587         4         -6              3
 588         4         -8              7
 589         4         -8              4
 590         4         -8              1
 591         3         -9              7
 592         3         -9              5
 593         2         -8              3
 594         2         -8              2
 595         1         -9              6
 596         1         -9              4
 597         1         -9              1
 598         0        -10              7
 599         0        -10              5
 600        -1         -9              3
 601        -1         -9              2
 602        -2        -10              6
 603        -2        -10              4
 604        -2        -10              5
 605        -3         -9              6
 606        -3         -9              7
 607        -3         -7              2
 608        -3         -7              1
 609        -4         -6              3
 610        -4         -6              4
 611        -4         -6              5
 612        -5         -5              6
 613        -5         -5              7
 614        -5         -3              2
 615        -5         -3              1
 616        -6         -2              3
 617        -6         -2              4
 618        -6         -2              7
 619        -6          0              3
 620        -6          0              6
 621        -5          1              1
 622        -5          1              5
 623        -5          3              2
 624        -5          3              4
 625        -5          3              7
 626        -5          5              3
 627        -5          5              6
 628        -4          6              1
 629        -4          6              5
 630        -4          8              2
 631        -4          8              5
 632        -4          8              7
 633        -3          9              1
 634        -3          9              4
 635        -3          9              6
 636        -2         10              2
 637        -2         10              3
 638        -1          9              5
 639        -1          9              7
 640         0         10              1
 641         0         10              4
 642         0         10              6
 643         1         11              2
 644         1         11              3
 645         2         10              5
 646         2         10              7
 647         2         10              6
 648         3          9              5
 649         3          9              4
 650         3          9              3
 651         4          8              1
 652         4          8              2
 653         4          6              7
 654         4          6              6
 655         5          5              5
 656         5          5              4
 657         5          5              3
 658         6          4              1
 659         6          4              2
 660         6          2              7
 661         6          2              6
 662         6          2              3
 663         6          0              7
 664         6          0              4
 665         6          0              2
 666         6         -2              5
 667         6         -2              1
 668         5         -3              6
 669         5         -3              3
 670         5         -5              7
 671         5         -5              4
 672         5         -5              2
 673         5         -7              5
 674         5         -7              1
 675         4         -8              6
 676         4         -8              3
 677         4         -8              2
 678         3         -9              6
 679         3         -9              4
 680         3         -9              1
 681         2        -10              7
 682         2        -10              5
 683         1         -9              3
 684         1         -9              2
 685         0        -10              6
 686         0        -10              4
 687         0        -10              1
 688        -1        -11              7
 689        -1        -11              5
 690        -2        -10              3
 691        -2        -10              2
 692        -2        -10              1
 693        -3         -9              3
 694        -3         -9              4
 695        -3         -9              5
 696        -4         -8              6
 697        -4         -8              7
 698        -4         -6              2
 699        -4         -6              1
 700        -5         -5              3
 701        -5         -5              4
 702        -5         -5              5
 703        -6         -4              6
 704        -6         -4              7
 705        -6         -2              2
 706        -6         -2              1
 707        -6         -2              5
 708        -6          0              2
 709        -6          0              4
 710        -6          0              7
 711        -6          2              3
 712        -6          2              6
 713        -5          3              1
 714        -5          3              5
 715        -5          5              2
 716        -5          5              4
 717        -5          5              7
 718        -5          7              3
 719        -5          7              6
 720        -4          8              1
 721        -5          9              6
 722        -4         10              2
 723        -4         10              3
 724        -3          9              5
 725        -3          9              7
 726        -2         10              1
 727        -2         10              4
 728        -2         10              6
 729        -1         11              2
 730        -1         11              3
 731         0         10              5
 732         0         10              7
 733         1         11              1
 734         1         11              4
 735         1         11              6
 736         2         12              2
 737         2         12              3
 738         3         11              1
 739         3         11              2
 740         3          9              7
 741         3          9              6
 742         4          8              5
 743         4          8              4
 744         4          8              3
 745         5          7              1
